api,description,method,inputBody,outputCode,check
"http://localhost:3000/san-pham","hiển thị danh sách sản phảm","showProduct","{}","Hiện thị danh sách tất cả sản phẩm đúng theo thiết kế",U17
"http://localhost:3000/san-pham","test khi nhân vào sản phảm xem có hiên ra chi tiến hay chưa","showProductDetail","{}","Hiển thị thông tín chi tiết của một sản phẩm",U18
"http://localhost:3000/gio-hang","vào giỏ hàng khi chưa đăng nhập","showCartNotLogin","{}","hiện ra mang hình login nếu người dùng chưa đăng nhập",U19
"http://localhost:3000/gio-hang","vào giỏ khi đã đăng nhập","showCartHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789""}","Hiện thị giỏ hàng của người dùng",U20
"http://localhost:3000/gio-hang","thêm một sản phẩm vào giỏ hàng","addProductCartHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789""}","thông báo thêm sản phẩm thành công",U21
"http://localhost:3000/","thêm một sản phẩm vào giỏ hàng khi chưa login","addProductCartNotLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789""}","thông báo lỗi và chuyển trang đăng nhập",U22
"http://localhost:3000/gio-hang","thêm một sản phẩm đã có trong giỏ hàng xem số lượng của sản phầm đó có tăng lên không, khi đã đăng nhập","addProductCartHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789""}","số lượng sản phẩm đó tăng lên thêm 1",U23
"http://localhost:3000/gio-hang","xóa một sản phẩm khi đã đăng nhập","deleteProductInCart","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","sản phẩm trong giỏ hàng sẽ được xóa khỏi giỏ hàng",U24
"http://localhost:3000/bang-dieu-khien/san-pham","quản lý sản phẩm khi đã đăng nhập với quyền là quản lý hoặc là nhân viên","showManagerProductHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Hiển thị danh sách sản phẩm đúng như thiết kế ",U25
"http://localhost:3000/bang-dieu-khien/san-pham/chinh-sua","quản lý sản phẩm khi đã đăng nhập với quyền là quản lý hoặc là nhân viên","FormEditManagerProductHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Hiển thị form chỉnh sửa sản phẩm ",U25
"http://localhost:3000/bang-dieu-khien/san-pham/them","quản lý sản phẩm khi đã đăng nhập với quyền là quản lý hoặc là nhân viên","showManagerProductHaveLogin","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Hiển thị form thêm sản phẩm",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi chưa có name và đã đăng nhập với quyền là quản lý hoặc là nhân viên ","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi nếu để trong name",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi chưa có price và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi nếu để trong price",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi price có chứa kí tự đặt biệt và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi price",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi chưa có image và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi nếu để trong image",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi có image > 5mb và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi image",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi có image không phải ảnh và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo lỗi image",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm khi chưa có description và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","được quyền thêm sản phẩm khi không có description",U27
"http://localhost:3000/bang-dieu-khien/san-pham/them","thêm sản phẩm đúng và đã đăng nhập với quyền là quản lý hoặc là nhân viên","chua","{""email"": ""thai4@gmail.com"",""password"":""123456789"" }","Thông báo thêm sản phẩm thành công",U27

